age,gender,education,income,experience,home_ownership,loan_amount,loan_intent,loan_int_rate,loan_percent_income,credit_score,pending_loan,loan_status
26,male,Bachelor,360977,5,MORTGAGE,25000,EDUCATION,15.33,0.07,695,Yes,0
25,female,Bachelor,361244,2,MORTGAGE,18000,HOMEIMPROVEMENT,16.45,0.05,620,No,0
26,male,Bachelor,98230,2,RENT,30000,PERSONAL,7.49,0.31,622,No,1
22,female,High School,80838,0,RENT,30000,MEDICAL,12.69,0.37,645,No,1
26,male,Master,107957,2,RENT,30000,DEBTCONSOLIDATION,6.62,0.28,654,No,1
24,female,Bachelor,94649,2,RENT,30000,DEBTCONSOLIDATION,11.01,0.32,624,No,1
23,male,High School,94550,1,RENT,30000,DEBTCONSOLIDATION,18.62,0.32,570,No,1
23,male,Bachelor,111153,3,RENT,30000,PERSONAL,15.23,0.27,648,No,1
23,female,Associate,117250,0,RENT,30000,VENTURE,10.65,0.26,652,No,1
25,male,Bachelor,144985,3,RENT,30000,EDUCATION,7.9,0.21,559,No,0
26,male,High School,337133,7,RENT,10000,PERSONAL,15.96,0.03,623,Yes,0
26,male,Associate,333566,2,RENT,20000,VENTURE,11.48,0.06,602,Yes,0
23,male,Bachelor,333399,1,OWN,35000,PERSONAL,11.01,0.1,609,No,0
25,male,Master,154793,1,RENT,30000,PERSONAL,7.29,0.19,573,Yes,0
21,female,Bachelor,158338,0,RENT,30000,VENTURE,5.99,0.19,623,Yes,0
22,female,Bachelor,331034,0,OWN,12000,VENTURE,11.58,0.04,602,Yes,0
26,female,High School,316466,6,MORTGAGE,10000,EDUCATION,11.01,0.03,579,No,1
25,female,Associate,267671,0,MORTGAGE,25000,MEDICAL,15.7,0.09,582,No,1
22,male,Master,85191,0,RENT,29100,EDUCATION,15.99,0.34,700,No,1
26,male,Bachelor,313100,3,OWN,28000,HOMEIMPROVEMENT,10.99,0.09,607,Yes,0
25,female,Bachelor,311952,0,MORTGAGE,20000,HOMEIMPROVEMENT,14.42,0.06,661,Yes,0
25,female,Bachelor,301136,0,RENT,25000,MEDICAL,13.49,0.08,664,Yes,0
22,male,Associate,69042,0,RENT,28000,MEDICAL,11.01,0.41,598,No,1
23,female,Associate,79183,0,RENT,28000,EDUCATION,7.9,0.35,677,No,1
26,male,Bachelor,102654,4,RENT,28000,VENTURE,7.49,0.27,690,No,1
22,male,High School,106566,0,RENT,28000,VENTURE,9.91,0.26,604,No,1
24,male,High School,100332,1,RENT,28000,VENTURE,15.99,0.28,634,No,1
24,male,Bachelor,300951,2,RENT,18000,EDUCATION,12.98,0.06,671,No,0
25,female,Bachelor,121062,1,RENT,28000,DEBTCONSOLIDATION,12.69,0.23,622,No,0
26,male,Associate,133372,1,RENT,28000,EDUCATION,8.9,0.21,538,Yes,0
22,male,Master,130852,0,RENT,28000,EDUCATION,11.01,0.21,683,No,1
23,male,Associate,182316,0,RENT,28000,DEBTCONSOLIDATION,11.11,0.15,634,Yes,0
24,female,Bachelor,83853,3,RENT,27600,HOMEIMPROVEMENT,11.01,0.33,690,No,1
22,female,Bachelor,85243,0,RENT,27500,EDUCATION,13.06,0.32,583,No,1
22,male,Associate,288907,2,OWN,25000,PERSONAL,11.01,0.09,617,Yes,0
26,male,Associate,89074,4,RENT,27050,VENTURE,15.62,0.3,668,No,1
24,male,Master,100509,2,RENT,27000,PERSONAL,13.49,0.27,673,No,1
24,male,High School,88950,3,RENT,27000,VENTURE,11.01,0.3,706,No,1
23,female,High School,75894,1,RENT,26000,MEDICAL,11.71,0.34,536,No,1
23,male,Associate,145092,0,RENT,25600,EDUCATION,12.69,0.18,557,Yes,0
22,male,Bachelor,73131,3,RENT,25475,VENTURE,10.99,0.35,681,No,1
25,male,Master,281501,4,MORTGAGE,20000,MEDICAL,14.27,0.07,623,Yes,0
24,female,Associate,281775,0,OWN,20000,HOMEIMPROVEMENT,8.88,0.07,595,Yes,0
26,male,Bachelor,281792,1,MORTGAGE,21600,HOMEIMPROVEMENT,12.18,0.08,584,Yes,0
25,male,Bachelor,266090,4,MORTGAGE,11900,DEBTCONSOLIDATION,14.42,0.04,669,No,1
26,male,High School,279664,3,MORTGAGE,25000,MEDICAL,14.17,0.09,642,Yes,0
25,female,High School,277017,4,MORTGAGE,35000,MEDICAL,13.99,0.13,622,Yes,0
23,male,Associate,100756,0,RENT,25300,EDUCATION,10.99,0.25,689,No,1
21,female,Bachelor,51922,3,RENT,25000,EDUCATION,12.73,0.48,673,No,1
24,male,Associate,50309,3,RENT,25000,HOMEIMPROVEMENT,11.01,0.5,625,No,1
26,male,Master,272201,5,MORTGAGE,20000,HOMEIMPROVEMENT,11.49,0.07,670,Yes,0
25,female,Bachelor,271324,3,MORTGAGE,30000,HOMEIMPROVEMENT,19.91,0.11,637,Yes,0
26,male,Associate,256862,2,MORTGAGE,35000,EDUCATION,10.65,0.14,643,No,1
22,male,Bachelor,51608,0,RENT,25000,MEDICAL,14.59,0.48,593,No,1
26,female,Master,58516,6,RENT,25000,EDUCATION,9.64,0.43,686,No,1
25,female,Associate,51747,3,RENT,25000,EDUCATION,16.35,0.48,697,No,1
21,male,High School,59864,0,RENT,25000,EDUCATION,10.99,0.42,648,No,1
25,male,Master,270972,1,MORTGAGE,25000,VENTURE,18.67,0.09,640,Yes,0
26,male,Bachelor,270877,4,MORTGAGE,25000,VENTURE,10.08,0.09,615,Yes,0
22,male,Associate,60501,0,RENT,25000,PERSONAL,11.83,0.41,687,No,1
23,male,High School,60754,1,RENT,25000,DEBTCONSOLIDATION,7.9,0.41,650,No,1
25,male,Bachelor,60829,0,RENT,25000,HOMEIMPROVEMENT,5.99,0.41,588,No,1
24,male,Bachelor,53825,2,RENT,25000,DEBTCONSOLIDATION,15.33,0.46,652,No,1
23,male,High School,60801,0,RENT,25000,VENTURE,11.83,0.41,658,No,1
22,male,High School,60747,0,RENT,25000,VENTURE,10.36,0.41,634,No,1
22,female,High School,61029,0,RENT,25000,VENTURE,12.23,0.41,623,No,1
22,female,Associate,63236,0,RENT,25000,EDUCATION,11.11,0.4,635,No,1
24,female,Master,265066,4,MORTGAGE,25000,EDUCATION,11.58,0.09,665,Yes,0
23,male,Associate,260205,2,MORTGAGE,21000,DEBTCONSOLIDATION,8.9,0.08,703,No,0
25,female,Associate,260035,5,MORTGAGE,25000,EDUCATION,16.07,0.1,585,Yes,0
26,female,Bachelor,260444,4,MORTGAGE,20000,EDUCATION,14.22,0.08,594,No,0
23,male,Bachelor,258980,0,MORTGAGE,35000,MEDICAL,14.79,0.14,618,Yes,0
26,male,High School,259081,2,MORTGAGE,12000,EDUCATION,7.88,0.05,626,Yes,0
23,male,High School,63497,0,RENT,25000,PERSONAL,13.22,0.39,695,No,1
26,female,Doctorate,56325,2,RENT,25000,DEBTCONSOLIDATION,11.86,0.44,690,No,1
22,male,Bachelor,64842,0,RENT,25000,EDUCATION,13.43,0.39,574,No,1
26,female,High School,57856,0,RENT,25000,HOMEIMPROVEMENT,15.28,0.43,602,No,1
23,male,Associate,57318,0,RENT,25000,VENTURE,17.93,0.44,679,No,1
22,male,Associate,252803,0,MORTGAGE,16000,VENTURE,10.62,0.06,577,Yes,0
26,female,Associate,253061,3,OWN,22000,PERSONAL,11.83,0.09,588,Yes,0
26,male,Bachelor,58602,8,RENT,25000,VENTURE,18.43,0.43,595,No,1
22,male,High School,67012,2,RENT,25000,EDUCATION,11.01,0.37,653,No,1
24,female,Master,66643,3,RENT,25000,HOMEIMPROVEMENT,11.01,0.38,663,No,1
23,male,Bachelor,66599,0,RENT,25000,EDUCATION,11.36,0.38,653,No,1
23,male,Associate,67212,2,RENT,25000,EDUCATION,15.65,0.37,598,No,1
24,female,High School,66918,1,RENT,25000,PERSONAL,13.22,0.37,630,No,1
26,male,Associate,68066,2,RENT,25000,DEBTCONSOLIDATION,12.87,0.37,637,No,1
24,male,Associate,245545,1,OWN,20000,MEDICAL,13.04,0.08,660,Yes,0
23,male,Associate,229083,0,MORTGAGE,22000,EDUCATION,17.58,0.1,639,No,1
24,female,Associate,72608,3,RENT,25000,PERSONAL,10.99,0.34,612,No,1
24,male,Bachelor,73073,1,RENT,25000,PERSONAL,11.11,0.34,628,No,1
26,female,Master,65880,2,RENT,25000,DEBTCONSOLIDATION,14.83,0.38,592,No,1
24,male,Bachelor,241180,3,RENT,12000,MEDICAL,12.69,0.05,634,No,0
24,male,Associate,240894,3,MORTGAGE,12000,HOMEIMPROVEMENT,13.49,0.05,678,No,0
21,male,High School,240980,0,MORTGAGE,16000,EDUCATION,14.65,0.07,557,Yes,0
25,male,Bachelor,65742,3,RENT,25000,HOMEIMPROVEMENT,16.82,0.38,672,No,1
23,male,Bachelor,72713,0,RENT,25000,PERSONAL,12.73,0.34,613,No,1
23,male,High School,72627,3,RENT,25000,PERSONAL,10.25,0.34,566,No,1
21,male,Associate,72843,0,RENT,25000,EDUCATION,10.99,0.34,718,No,1
25,male,High School,75504,4,RENT,25000,MEDICAL,12.73,0.33,484,No,1
22,female,High School,68824,0,RENT,25000,HOMEIMPROVEMENT,14.96,0.36,634,No,1
23,female,Bachelor,241167,2,MORTGAGE,28000,EDUCATION,11.01,0.12,653,Yes,0
21,male,Bachelor,241060,0,MORTGAGE,25000,DEBTCONSOLIDATION,13.99,0.1,699,No,0
24,male,High School,240855,0,MORTGAGE,24000,VENTURE,7.49,0.1,656,Yes,0
26,male,High School,241030,3,MORTGAGE,15000,EDUCATION,14.79,0.06,626,Yes,0
25,male,High School,240895,2,MORTGAGE,15500,DEBTCONSOLIDATION,11.99,0.06,659,No,0
24,female,High School,240932,4,RENT,10000,EDUCATION,8.49,0.04,604,Yes,0
24,male,Associate,80145,1,RENT,25000,EDUCATION,9.91,0.31,636,No,1
22,male,Master,80303,0,RENT,25000,EDUCATION,13.06,0.31,554,No,1
25,male,Bachelor,241005,4,RENT,18000,EDUCATION,16.32,0.07,708,Yes,0
25,female,Master,240768,2,MORTGAGE,12000,VENTURE,10.38,0.05,669,Yes,0
25,male,Associate,241201,2,MORTGAGE,23050,PERSONAL,14.35,0.1,578,No,0
24,male,Bachelor,240920,5,MORTGAGE,20000,DEBTCONSOLIDATION,11.01,0.08,615,No,0
24,female,Master,72919,1,RENT,25000,DEBTCONSOLIDATION,11.01,0.34,553,No,1
26,female,Associate,81238,3,RENT,25000,PERSONAL,15.21,0.31,531,No,1
23,male,High School,80868,1,RENT,25000,EDUCATION,7.9,0.31,621,No,1
24,male,Bachelor,81537,1,RENT,25000,VENTURE,10.99,0.31,674,No,1
24,female,Associate,82741,0,RENT,25000,PERSONAL,14.09,0.3,688,No,1
25,female,High School,83901,3,RENT,25000,PERSONAL,17.49,0.3,597,No,1
25,male,Associate,240717,1,MORTGAGE,12000,EDUCATION,11.48,0.05,640,No,0
26,female,Associate,226744,0,MORTGAGE,20000,VENTURE,17.74,0.09,621,No,1
25,male,Bachelor,85284,3,RENT,25000,EDUCATION,15.21,0.29,653,No,1
24,female,High School,84871,3,RENT,25000,EDUCATION,11.86,0.29,569,No,1
24,male,Bachelor,68029,1,RENT,25000,MEDICAL,16.49,0.37,631,No,1
25,female,High School,80001,4,RENT,25000,VENTURE,15.33,0.31,592,No,1
26,female,High School,79875,6,RENT,25000,HOMEIMPROVEMENT,11.58,0.31,679,No,1
25,male,Associate,88153,0,RENT,25000,MEDICAL,13.11,0.28,669,No,1
23,female,Bachelor,90109,0,RENT,25000,MEDICAL,10.36,0.28,653,No,1
25,male,Bachelor,90938,1,RENT,25000,DEBTCONSOLIDATION,10.36,0.27,577,No,1
24,male,High School,231335,0,RENT,22000,MEDICAL,11.01,0.1,668,Yes,0
21,male,Bachelor,231829,0,MORTGAGE,20000,VENTURE,6.54,0.09,629,No,0
25,female,Associate,230516,4,MORTGAGE,10000,MEDICAL,12.53,0.04,643,No,0
26,male,Bachelor,229626,0,MORTGAGE,15000,PERSONAL,11.01,0.07,626,No,0
22,male,Bachelor,228907,0,MORTGAGE,10000,VENTURE,11.01,0.04,560,Yes,0
24,male,Bachelor,90938,0,RENT,25000,EDUCATION,10.25,0.27,648,No,1
22,male,Associate,86284,0,RENT,25000,EDUCATION,15.95,0.29,648,No,1
26,male,Associate,228774,3,MORTGAGE,20000,VENTURE,12.18,0.09,669,Yes,0
23,male,High School,229027,2,OWN,24000,PERSONAL,11.83,0.1,536,Yes,0
23,male,High School,94789,1,RENT,25000,DEBTCONSOLIDATION,11.01,0.26,548,No,1
23,female,Master,94780,0,RENT,25000,VENTURE,10.62,0.26,667,No,1
23,male,High School,95298,0,RENT,25000,VENTURE,10.74,0.26,676,No,1
25,male,Associate,223944,1,OWN,10000,VENTURE,10.25,0.04,570,Yes,0
24,male,High School,222629,0,MORTGAGE,35000,EDUCATION,12.42,0.16,623,No,0
25,female,Bachelor,222973,2,RENT,15000,VENTURE,15.27,0.07,652,Yes,0
24,female,High School,75240,1,RENT,25000,MEDICAL,15.33,0.33,625,No,1
23,female,High School,96143,1,RENT,25000,VENTURE,15.21,0.26,642,No,1
24,male,Associate,96627,2,RENT,25000,PERSONAL,15.7,0.26,622,No,1
24,male,Bachelor,96309,3,RENT,25000,EDUCATION,13.35,0.26,581,No,1
24,male,Master,96836,1,RENT,25000,EDUCATION,6.62,0.26,583,No,1
26,male,Bachelor,96947,4,RENT,25000,DEBTCONSOLIDATION,13.61,0.26,645,No,1
22,female,Associate,222975,2,RENT,25000,MEDICAL,11.36,0.11,593,Yes,0
24,female,Bachelor,223064,0,RENT,22000,HOMEIMPROVEMENT,14.46,0.1,655,Yes,0
24,female,Associate,207712,0,MORTGAGE,20000,DEBTCONSOLIDATION,13.47,0.1,582,No,1
24,female,Bachelor,220872,1,MORTGAGE,20000,MEDICAL,11.49,0.09,504,Yes,0
25,female,Associate,220510,1,MORTGAGE,15000,PERSONAL,6.03,0.07,529,Yes,0
23,female,Bachelor,89818,0,RENT,25000,DEBTCONSOLIDATION,16.35,0.28,674,No,1
26,female,High School,90006,4,RENT,25000,DEBTCONSOLIDATION,11.01,0.28,595,No,1
25,female,High School,98704,6,RENT,25000,DEBTCONSOLIDATION,7.29,0.25,597,No,1
23,male,High School,98967,5,RENT,25000,MEDICAL,11.36,0.25,566,No,1
24,male,High School,99435,3,RENT,25000,VENTURE,10.25,0.25,666,No,0
24,female,Bachelor,100658,1,RENT,25000,EDUCATION,11.12,0.25,695,No,0
24,female,Bachelor,100435,2,RENT,25000,PERSONAL,12.92,0.25,576,Yes,0
24,male,High School,216925,5,RENT,18000,EDUCATION,18.64,0.08,651,Yes,0
23,female,Bachelor,216891,0,MORTGAGE,28000,PERSONAL,7.51,0.13,633,Yes,0
22,female,Associate,102317,0,RENT,25000,PERSONAL,18.3,0.24,586,Yes,0
24,female,Associate,103400,4,RENT,25000,MEDICAL,10.62,0.24,592,Yes,0
24,male,Bachelor,217134,2,MORTGAGE,14000,VENTURE,11.99,0.06,598,Yes,0
26,male,Master,217024,1,MORTGAGE,12000,VENTURE,9.63,0.06,637,Yes,0
25,female,High School,172215,5,MORTGAGE,10000,MEDICAL,18.25,0.06,628,No,1
24,male,Associate,105349,5,RENT,25000,HOMEIMPROVEMENT,14.84,0.24,621,Yes,0
24,male,Bachelor,91184,1,RENT,25000,VENTURE,14.7,0.27,668,No,1
23,female,High School,91886,1,RENT,25000,DEBTCONSOLIDATION,16.02,0.27,544,No,1
23,male,Associate,80452,2,RENT,25000,MEDICAL,15.37,0.31,699,No,1
25,female,Bachelor,108758,2,RENT,25000,MEDICAL,10.99,0.23,611,No,0
26,female,High School,217234,5,OWN,25000,PERSONAL,10.99,0.12,559,Yes,0
24,female,High School,217017,0,OWN,21000,EDUCATION,11.48,0.1,577,Yes,0
25,male,High School,216874,1,OWN,20000,MEDICAL,14.26,0.09,657,Yes,0
26,male,Associate,216833,5,OWN,10000,HOMEIMPROVEMENT,8,0.05,676,Yes,0
23,female,Master,94363,0,RENT,25000,VENTURE,16.32,0.26,576,No,1
25,male,Master,80570,3,RENT,25000,MEDICAL,17.93,0.31,612,No,1
23,male,Bachelor,109167,0,RENT,25000,DEBTCONSOLIDATION,11.36,0.23,678,No,0
24,female,Associate,95753,1,RENT,25000,DEBTCONSOLIDATION,14.96,0.26,542,No,1
24,female,Associate,110935,1,RENT,25000,PERSONAL,13.43,0.23,709,Yes,0
25,male,Associate,111490,2,RENT,25000,HOMEIMPROVEMENT,12.69,0.22,622,Yes,0
24,male,Associate,111729,4,RENT,25000,VENTURE,12.73,0.22,642,Yes,0
23,female,High School,113396,0,RENT,25000,VENTURE,15.21,0.22,660,No,0
23,female,High School,85787,0,RENT,25000,MEDICAL,19.04,0.29,646,No,1
25,female,Master,102114,7,RENT,25000,DEBTCONSOLIDATION,15.95,0.24,637,No,1
22,male,Associate,210555,0,MORTGAGE,18000,EDUCATION,11.01,0.09,652,No,0
23,male,Bachelor,210937,0,MORTGAGE,21000,PERSONAL,11.99,0.1,620,Yes,0
22,male,Associate,106694,0,RENT,25000,DEBTCONSOLIDATION,15.58,0.23,667,No,1
25,male,Master,90718,4,RENT,25000,MEDICAL,10.99,0.28,692,No,1
25,male,Bachelor,106668,1,RENT,25000,VENTURE,14.96,0.23,562,No,1
26,male,High School,106419,5,RENT,25000,VENTURE,15.65,0.23,649,No,1
25,female,High School,120696,3,RENT,25000,VENTURE,9.33,0.21,545,Yes,0
24,female,Associate,124083,0,RENT,25000,PERSONAL,10.36,0.2,637,Yes,0
24,male,Associate,111673,4,RENT,25000,HOMEIMPROVEMENT,16.77,0.22,600,No,1
23,male,High School,112633,1,RENT,25000,DEBTCONSOLIDATION,14.59,0.22,633,No,1
26,female,Master,209873,3,RENT,12000,DEBTCONSOLIDATION,12.53,0.06,675,No,0
25,female,Associate,195268,1,MORTGAGE,25000,DEBTCONSOLIDATION,16,0.13,662,No,1
26,male,Master,209393,2,MORTGAGE,10000,VENTURE,11.71,0.05,585,Yes,0
25,female,Bachelor,116439,2,RENT,25000,HOMEIMPROVEMENT,15.68,0.21,595,No,1
24,female,High School,118417,0,RENT,25000,HOMEIMPROVEMENT,12.61,0.21,625,No,1
26,female,High School,133476,0,RENT,25000,PERSONAL,11.01,0.19,641,Yes,0
25,male,High School,192351,1,RENT,30000,PERSONAL,17.27,0.16,577,No,1
24,male,Bachelor,206648,4,RENT,18000,DEBTCONSOLIDATION,8.9,0.09,537,Yes,0
25,female,High School,205046,6,MORTGAGE,10000,MEDICAL,11.11,0.05,646,Yes,0
24,male,High School,190735,1,RENT,25000,HOMEIMPROVEMENT,14.59,0.13,653,No,1
26,female,Associate,204872,3,RENT,13000,VENTURE,12.42,0.06,654,No,0
24,male,Associate,100758,0,RENT,25000,MEDICAL,11.01,0.25,635,No,1
24,female,Master,133231,3,RENT,25000,HOMEIMPROVEMENT,15.7,0.19,675,Yes,0
25,female,Bachelor,205144,0,MORTGAGE,20000,EDUCATION,7.49,0.1,545,Yes,0
22,female,High School,121617,2,RENT,25000,DEBTCONSOLIDATION,14.96,0.21,629,No,1
25,male,Associate,136206,6,RENT,25000,MEDICAL,12.73,0.18,539,No,0
24,male,Master,144915,4,RENT,25000,EDUCATION,10.65,0.17,593,Yes,0
25,female,High School,145233,3,RENT,25000,MEDICAL,10.74,0.17,683,No,0
23,male,Bachelor,145002,1,RENT,25000,EDUCATION,9.99,0.17,670,Yes,0
24,male,Master,110953,0,RENT,25000,MEDICAL,15.33,0.23,662,No,1
26,male,High School,130096,1,RENT,25000,PERSONAL,15.05,0.19,636,No,1
26,male,Master,157292,0,RENT,25000,PERSONAL,10.75,0.16,677,Yes,0
23,female,Bachelor,156995,3,RENT,25000,EDUCATION,16.02,0.16,656,Yes,0
23,female,Associate,156952,0,RENT,25000,VENTURE,11.49,0.16,674,Yes,0
25,female,Associate,205005,6,OWN,20000,EDUCATION,12.53,0.1,587,No,0
26,female,Bachelor,205060,2,MORTGAGE,12000,VENTURE,13.57,0.06,658,No,0
22,male,High School,203782,4,RENT,14000,PERSONAL,11.14,0.07,581,Yes,0
26,male,High School,203368,3,RENT,24250,MEDICAL,12.87,0.12,606,Yes,0
23,female,Associate,203403,0,RENT,20000,EDUCATION,11.58,0.1,648,No,0
25,female,Master,202525,1,MORTGAGE,35000,PERSONAL,10.65,0.17,589,Yes,0
24,male,Associate,161487,1,RENT,25000,DEBTCONSOLIDATION,10.37,0.15,641,No,0
24,male,High School,161952,2,RENT,25000,PERSONAL,16.07,0.15,578,Yes,0
25,female,Bachelor,161560,0,RENT,25000,MEDICAL,10.62,0.15,660,Yes,0
25,male,Associate,163134,5,RENT,25000,EDUCATION,11.36,0.15,567,Yes,0
26,female,Bachelor,163683,5,RENT,25000,DEBTCONSOLIDATION,12.53,0.15,582,Yes,0
25,female,Bachelor,174972,3,RENT,25000,EDUCATION,9.99,0.14,712,Yes,0
23,male,High School,181016,4,RENT,25000,EDUCATION,10.36,0.14,674,No,0
22,female,Master,184800,1,MORTGAGE,24000,DEBTCONSOLIDATION,15.62,0.13,670,No,1
24,male,Master,198862,6,MORTGAGE,20000,PERSONAL,10.37,0.1,658,No,0
25,male,Associate,199407,0,MORTGAGE,25000,HOMEIMPROVEMENT,19.74,0.13,669,No,0
21,male,Bachelor,198803,0,MORTGAGE,20000,EDUCATION,6.91,0.1,681,Yes,0
23,male,Master,178660,2,RENT,25000,DEBTCONSOLIDATION,14.93,0.14,590,No,1
25,male,Bachelor,210932,0,RENT,25000,PERSONAL,8.9,0.12,621,No,0
24,male,Associate,223194,0,RENT,25000,HOMEIMPROVEMENT,12.68,0.11,676,Yes,0
25,female,Associate,195560,0,RENT,25000,PERSONAL,11.03,0.13,677,Yes,0
26,male,Bachelor,194140,6,RENT,30000,VENTURE,7.9,0.15,651,Yes,0
22,male,High School,193337,0,MORTGAGE,35000,MEDICAL,10.65,0.18,602,Yes,0
25,male,High School,270992,2,RENT,25000,VENTURE,11.86,0.09,652,No,0
25,female,High School,60742,3,RENT,24750,PERSONAL,14.22,0.41,638,No,1
23,female,High School,72805,2,RENT,24750,DEBTCONSOLIDATION,9.33,0.34,655,No,1
24,male,Master,102011,3,RENT,24500,MEDICAL,13.85,0.24,627,Yes,0
24,female,Bachelor,111283,0,RENT,24500,MEDICAL,11.46,0.22,694,No,0
23,female,Associate,192873,0,MORTGAGE,35000,PERSONAL,7.66,0.18,684,Yes,0
24,female,Bachelor,193174,0,MORTGAGE,12000,VENTURE,16.77,0.06,547,No,0
25,female,Bachelor,193249,0,MORTGAGE,12000,PERSONAL,9.63,0.06,586,Yes,0
26,female,Bachelor,192954,5,RENT,25000,PERSONAL,12.23,0.13,694,No,0
25,male,Master,152227,2,MORTGAGE,10000,MEDICAL,14.09,0.07,639,No,1
25,female,Bachelor,65399,0,RENT,24250,PERSONAL,13.98,0.37,663,No,1
23,female,High School,75928,4,RENT,24250,EDUCATION,10.62,0.32,528,No,1
25,male,High School,83235,3,RENT,24250,PERSONAL,17.56,0.29,603,No,1
26,male,High School,68297,3,RENT,24250,MEDICAL,14.96,0.36,507,No,1
22,male,Master,89977,3,RENT,24250,DEBTCONSOLIDATION,15.65,0.27,692,No,1
24,female,Associate,79510,2,RENT,24250,MEDICAL,15.7,0.3,604,No,1
24,female,Bachelor,109050,5,RENT,24250,VENTURE,12.53,0.22,622,No,0
26,female,Bachelor,94635,2,RENT,24250,HOMEIMPROVEMENT,17.56,0.26,643,No,1
23,male,High School,120966,0,RENT,24250,PERSONAL,12.87,0.2,565,No,0
23,male,Master,124437,0,RENT,24250,PERSONAL,15.7,0.19,718,Yes,0
25,male,Bachelor,192914,0,OWN,15000,VENTURE,11.14,0.08,614,Yes,0
24,female,Bachelor,192806,2,MORTGAGE,20000,VENTURE,16,0.1,690,Yes,0
23,male,High School,193097,0,MORTGAGE,25000,EDUCATION,15.65,0.13,564,Yes,0
26,female,Associate,193082,5,MORTGAGE,13750,DEBTCONSOLIDATION,11.01,0.07,579,Yes,0
21,female,High School,192841,1,MORTGAGE,15250,VENTURE,15.31,0.08,648,No,0
25,male,Master,193300,3,MORTGAGE,20000,VENTURE,13.47,0.1,531,Yes,0
25,female,Bachelor,135292,3,RENT,24250,PERSONAL,11.01,0.18,574,No,0
25,male,High School,139035,7,RENT,24250,HOMEIMPROVEMENT,11.36,0.17,633,No,0
23,male,High School,173511,0,RENT,24250,EDUCATION,11.83,0.14,631,Yes,0
23,male,Associate,345520,0,RENT,24250,EDUCATION,12.53,0.07,652,Yes,0
22,female,Bachelor,130762,3,RENT,24150,HOMEIMPROVEMENT,14.96,0.18,683,No,1
22,female,Bachelor,52596,0,RENT,24000,DEBTCONSOLIDATION,13.85,0.46,693,No,1
23,female,Bachelor,57326,2,RENT,24000,VENTURE,11.58,0.42,603,No,1
24,female,High School,58262,1,RENT,24000,VENTURE,16.29,0.41,522,No,1
26,female,High School,58620,4,RENT,24000,MEDICAL,11.01,0.41,664,No,1
21,female,Master,55113,0,RENT,24000,EDUCATION,16.29,0.44,645,No,1
